MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
111770,,"A History of Golden Square",,,,"City of Westminster",51.51182,-0.13738,,"City of Westminster",,"Greater London","England","It is on Golden Square just west of Upper James Street, on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=111770,12/21/2017,1/27/2022
111774,,"Sir Harry Ricardo","1885 - 1974",,2005,"English Heritage",51.51963,-0.12990,"13 Bedford Square","Camden",,"Greater London","England","It is on Bedford Square just east of Bayley Street, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=111774,12/21/2017,1/27/2022
111775,,"Ram Mohun Roy","1772 - 1833",,1985,"Greater London Council",51.51869,-0.12929,"49 Bedford Square","Camden",,"Greater London","England","It is on Bedford Square just north of Bloomsbury Street, on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=111775,12/21/2017,1/27/2022
111785,,"Charles Dickens","1812 - 1870",,1903,"London County Council",51.52356,-0.11622,"48 Doughty Street","Camden",,"Greater London","England","It is on Doughty Street just south of Guilford Street, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=111785,12/22/2017,1/27/2022
112034,,"Johnson's Court",,,,,51.51427,-0.10860,"167 Fleet Street","City of London",,"Greater London","England","It is at the intersection of Johnson Court and Fleet Street, on the right when traveling west on Johnson Court. ",,https://www.hmdb.org/m.asp?m=112034,12/30/2017,1/3/2024
112120,,"Thomas Coram",,,1963,"Governors of the Thomas Coram Foundation for Children",51.52515,-0.12148,"40 Brunswick Square","Camden",,"Greater London","England","It can be reached from Brunswick Square just east of Hunter Street. ",,https://www.hmdb.org/m.asp?m=112120,1/1/2018,1/27/2022
112269,,"James Robinson","1813 - 1862",,1991,"English Heritage",51.52022,-0.12993,"14 Gower Street","Camden",,"Greater London","England","It is on Gower Street just south of Store Street, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=112269,1/4/2018,1/27/2022
112270,,"Euston War Memorial",,,,,51.52719,-0.13253,"190 Euston Road","Camden",,"Greater London","England","It is on Euston Road just east of Gordon Street, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=112270,1/4/2018,1/27/2022
112271,,"Sir Johnston Forbes-Robertson",,,,,51.51927,-0.13087,"22 Bedford Square","Camden",,"Greater London","England","It is on Bedford Square just east of Bayley Street, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=112271,1/4/2018,1/27/2022
112306,,"British Institute of Professional Photography",,,,"British Institute of Professional Photography",51.51431,-0.10861,"167 Fleet Street","City of London",,"Greater London","England","It is at the intersection of Fleet Street and Johnson's Court, on the left when traveling east on Fleet Street. ",,https://www.hmdb.org/m.asp?m=112306,1/5/2018,1/2/2024
112308,,"Anthony Hope",,,1976,"Greater London Council",51.51831,-0.13015,"41 Bedford Square","Camden",,"Greater London","England","It is at the intersection of Bedford Square and Adeline Place, on the left when traveling west on Bedford Square. ",,https://www.hmdb.org/m.asp?m=112308,1/5/2018,1/27/2022
112469,,"Thomas Wakley","1795 - 1862",,1962,"London County Council",51.51843,-0.13063,"35 Bedford Square","Camden",,"Greater London","England","It is on Bedford Square just north of Adeline Place, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=112469,1/10/2018,1/27/2022
112471,,"Thomas Hodgkin","1798 - 1866",,1985,"Greater London Council",51.51839,-0.13073,"35 Bedford Square","Camden",,"Greater London","England","It is on Bedford Square just north of Adeline Place, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=112471,1/10/2018,1/27/2022
112857,,"Dwight David Eisenhower",,,,,51.51177,-0.15276,,"City of Westminster",,"Greater London","England","It can be reached from the intersection of Upper Brook Street and Grosvenor Square. ",,https://www.hmdb.org/m.asp?m=112857,1/17/2018,1/27/2022
113923,,"Herbert Tree",,,,,51.50836,-0.13179,,"City of Westminster",,"Greater London","England","It is at the intersection of Haymarket and Charles II Street on Haymarket. ",,https://www.hmdb.org/m.asp?m=113923,2/9/2018,1/27/2022
113934,,"Her Majesty's Theatre","Theatreland - Heart of the Performing Arts in London",,,,51.50835,-0.13186,,"City of Westminster",,"Greater London","England","It is at the intersection of Charles II Street and Haymarket, on the left when traveling west on Charles II Street. ",,https://www.hmdb.org/m.asp?m=113934,2/10/2018,1/27/2022
113937,,"The Cádiz Memorial",,,1816,,51.50421,-0.12730,,"City of Westminster",,"Greater London","England","It is on Horse Guards Road, 0.1 kilometers south of The Mall. ",,https://www.hmdb.org/m.asp?m=113937,2/10/2018,1/27/2022
114240,,"Essex Street",,,1962,"London County Council",51.51296,-0.11320,"1-6 Essex Street","City of Westminster",,"Greater London","England","It is at the intersection of Essex Street and Strand on Essex Street. ",,https://www.hmdb.org/m.asp?m=114240,2/19/2018,1/27/2022
115272,,"Bob Marley",,,2006,"Nubian Jak Community Trust, Mayor of London",51.52156,-0.13257,"34 Ridgmount Gardens","Camden",,"Greater London","England","It is on Ridgmount Gardens just north of Chenies Street, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=115272,3/22/2018,1/27/2022
115294,,"Joseph Haydn","1732 - 1809",,2015,"Haydn Society of Great Britain",51.51263,-0.13635,"18 Great Pulteney Street","City of Westminster",,"Greater London","England","It is on Great Pulteney Street just south of Beak Street. ",,https://www.hmdb.org/m.asp?m=115294,3/22/2018,1/27/2022
115297,,"Noor Inayat Khan",,,2012,"Noor Inayat Khan Memorial Trust",51.52482,-0.13101,,"Camden",,"Greater London","England","It can be reached from the intersection of Gordon Square and Endsleigh Place. ",,https://www.hmdb.org/m.asp?m=115297,3/23/2018,1/27/2022
115310,,"William Shakespeare",,,2016,"City of London Corporation",51.51724,-0.09525,"3 Noble Street","City of London",,"Greater London","England","It is at the intersection of Noble Street and London Wall, on the right when traveling north on Noble Street. ",,https://www.hmdb.org/m.asp?m=115310,3/23/2018,1/27/2022
115311,,"Site of First Bomb Hit",,,,,51.51838,-0.09279,,"City of London",,"Greater London","England","It is at the intersection of Fore Street and Wood Street, on the left when traveling west on Fore Street. ",,https://www.hmdb.org/m.asp?m=115311,3/23/2018,1/27/2022
115312,,"Sidney Bechet","1897 - 1959",,2014,"Nubian Jak Community Trust, Admirers of His Music",51.52346,-0.14133,"27 Conway Street","Camden",,"Greater London","England","It is on Conway Street just south of Warren Street, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=115312,3/23/2018,1/27/2022
115328,,"Ali Mohammed Abbas","1922 - 1979",,,"Camden Borough Council",51.52500,-0.12986,"33 Tavistock Square","Camden",,"Greater London","England","It is on Tavistock Square just south of Endsleigh Place, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=115328,3/23/2018,1/27/2022
115329,,"Benny Green",,,,,51.52356,-0.14255,"161 Cleveland Street","City of Westminster",,"Greater London","England","It is on Cleveland Street just south of Euston Road, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=115329,3/23/2018,1/27/2022
115331,,"Mark Ashton","1960 - 1987",,,"Lesbians and Gays Support the Miners",51.52544,-0.12531,"66 Marchmont Street","Camden",,"Greater London","England","It is at the intersection of Marchmont Street and Tavistock Place, on the left when traveling south on Marchmont Street. ",,https://www.hmdb.org/m.asp?m=115331,3/23/2018,1/27/2022
115334,,"Lenin",,,2012,"Marchmont Association",51.52549,-0.12592,"36 Tavistock Place","Camden",,"Greater London","England","It is on Tavistock Place just west of Marchmont Street, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=115334,3/23/2018,1/27/2022
115339,,"Charles Darwin","1809 - 1882",,1961,"London County Council",51.52324,-0.13329,"110 Gower Street (Darwin Building)","Camden",,"Greater London","England","It is on Gower Street just north of Torrington Place, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=115339,3/24/2018,1/27/2022
115360,,"The Rose Theatre",,,2005,"London Borough of Southwark",51.50708,-0.09529,"56 Park Street","Southwark",,"Greater London","England","It is at the intersection of Park Street and Southwark Bridge Road, on the right when traveling west on Park Street. ",,https://www.hmdb.org/m.asp?m=115360,3/24/2018,1/27/2022
115361,,"Fortune Theatre",,,,,51.52259,-0.09300,,"Islington",,"Greater London","England","It is at the intersection of Fortune Street and Whitecross Street, on the left when traveling east on Fortune Street. ",,https://www.hmdb.org/m.asp?m=115361,3/24/2018,1/27/2022
115384,,"The Last Goon Show",,,,"Comic Heritage",51.53470,-0.13842,"1A Camden High Street","Camden",,"Greater London","England","It is at the intersection of Camden High Street and Crowndale Road on Camden High Street. ",,https://www.hmdb.org/m.asp?m=115384,3/24/2018,1/27/2022
115467,,"Mary Wollstonecraft",,,,"Camden London Borough Council",51.53110,-0.13324,"Werrington Street (Oakshott Court)","Camden",,"Greater London","England","It is on Werrington Street just south of Polygon Road, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=115467,3/26/2018,1/27/2022
115468,,"The Admiral Duncan Pub","Queer Heritage",,2017,"Sexual Avengers",51.51287,-0.13224,"54 Old Compton Street","City of Westminster",,"Greater London","England","It is on Old Compton Street just west of Dean Street, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=115468,3/26/2018,1/27/2022
115471,,"The Jimi Hendrix Experience",,,,"The Bag O' Nails Club",51.51247,-0.13897,"9 Kingly Street","City of Westminster",,"Greater London","England","It is at the intersection of Kingly Street and Tenison Court, on the left when traveling south on Kingly Street. ",,https://www.hmdb.org/m.asp?m=115471,3/26/2018,1/27/2022
115479,,"Paul McCartney",,,,"Bag O' Nails Club",51.51245,-0.13895,"9 Kingly Street","City of Westminster",,"Greater London","England","It is at the intersection of Kingly Street and Tenison Court on Kingly Street. ",,https://www.hmdb.org/m.asp?m=115479,3/26/2018,1/27/2022
115482,,"Palace Theatre","Theatreland - Heart of the Performing Arts in London",,,"City of Westminster, Society of West End Theatre",51.51325,-0.12938,,"City of Westminster",,"Greater London","England","It is at the intersection of Shaftesbury Avenue and Charing Cross Road, on the right when traveling south on Shaftesbury Avenue. ",,https://www.hmdb.org/m.asp?m=115482,3/26/2018,1/27/2022
115489,,"Stella & Fanny",,,2013,"Marchmont Association",51.52615,-0.12257,,"Camden",,"Greater London","England","It is on Wakefield Street just south of Tavistock Place. ",,https://www.hmdb.org/m.asp?m=115489,3/26/2018,1/27/2022
115492,,"John Cartwright",,,1831,,51.52682,-0.12660,,"Camden",,"Greater London","England","It is on Cartwright Gardens just south of Hastings Street. ",,https://www.hmdb.org/m.asp?m=115492,3/27/2018,1/27/2022
115513,,"Pizza Express",,,,,51.51126,-0.13210,"29 Wardour Street","City of Westminster",,"Greater London","England","It is at the intersection of Wardour Street and Rupert Court, on the left when traveling north on Wardour Street. ",,https://www.hmdb.org/m.asp?m=115513,3/27/2018,1/27/2022
115516,,"Henry Cavendish",,,1904,"Bedford Estate",51.51981,-0.12951,"11 Bedford Square","Camden",,"Greater London","England","It is at the intersection of Bedford Square and Gower Street, on the right when traveling west on Bedford Square. ",,https://www.hmdb.org/m.asp?m=115516,3/27/2018,1/27/2022
115519,,"Lord Haldane","1856 - 1928",,1954,"London County Council",51.50062,-0.13316,"28 Queen Anne's Gate","City of Westminster",,"Greater London","England","It is on Queen Anne's Gate just west of Carteret Street, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=115519,3/27/2018,1/27/2022
115539,,"Dr Alphonse Normandy","1809 - 1864",,2016,"Marchmont Association, International Desalination Association",51.52749,-0.12480,"91 Judd Street","Camden",,"Greater London","England","It is on Judd Street just north of Cromer Street, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=115539,3/27/2018,1/27/2022
115541,,"Brian Epstein",,,,"Seven Dials Trust",51.51475,-0.12676,"13 Monmouth Street","Camden",,"Greater London","England","It is on Monmouth Street just south of Shaftesbury Avenue, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=115541,3/27/2018,1/27/2022
115542,,"Elizabeth Garrett Anderson Hospital",,,,,51.52798,-0.12955,"130 Euston Road","Camden",,"Greater London","England","It can be reached from the intersection of Euston Road and Churchway. ",,https://www.hmdb.org/m.asp?m=115542,3/27/2018,1/27/2022
115547,,"Captain Matthew Flinders, R.N.","1774 - 1814",,1961,"London County Council",51.52392,-0.14019,"52 Fitzroy Street","Camden",,"Greater London","England","It is at the intersection of Fitzroy Street and Warren Street, on the right when traveling north on Fitzroy Street. ",,https://www.hmdb.org/m.asp?m=115547,3/27/2018,1/27/2022
115548,,"City Road Turnpike","Historic Site",,,"London Borough of Islington",51.52607,-0.08795,,"Islington",,"Greater London","England","It is at the intersection of City Road and Old Street on City Road. ",,https://www.hmdb.org/m.asp?m=115548,3/27/2018,1/27/2022
115925,,"The First Birth Control Clinic",,,,,51.52310,-0.13796,"108 Whitfield Street","Camden",,"Greater London","England","It is on Whitfield Street just south of Grafton Way, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=115925,4/5/2018,1/27/2022
115926,,"Samuel Morse","1791 - 1872",,1962,"London County Council",51.52284,-0.14169,"141 Cleveland Street","City of Westminster",,"Greater London","England","It is on Cleveland Street just south of Greenwell Street, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=115926,4/5/2018,1/27/2022
115952,,"Roger Fry",,,2010,"English Heritage",51.52240,-0.14004,"33 Fitzroy Square","Camden",,"Greater London","England","It is at the intersection of Conway Street and Fitzroy Square, on the left when traveling south on Conway Street. ",,https://www.hmdb.org/m.asp?m=115952,4/6/2018,1/27/2022
115959,,"London City Wall - Bastion 14",,,,"City of London Corporation",51.51777,-0.09508,"140 London Wall","City of London",,"Greater London","England","It can be reached from London Wall just west of Wood Street. ",,https://www.hmdb.org/m.asp?m=115959,4/6/2018,1/27/2022
115970,"14","The London Wall Walk - 14",,,1984,"Museum of London",51.51850,-0.09384,,"City of London",,"Greater London","England","It can be reached from the intersection of Wood Street and Fore Street. ",,https://www.hmdb.org/m.asp?m=115970,4/7/2018,1/27/2022
116052,,"Henry Mayhew","1812 - 1887",,1953,"London County Council",51.52688,-0.14453,"55 Albany Street","Camden",,"Greater London","England","It is on Albany Street, 0.3 kilometers north of Euston Road, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=116052,4/9/2018,1/27/2022
116070,,"Robert Gascoyne Cecil",,,1965,"London County Council",51.52303,-0.14089,"21 Fitzroy Square","Camden",,"Greater London","England","It is at the intersection of Fitzroy Square and Conway Street, on the right when traveling south on Fitzroy Square. ",,https://www.hmdb.org/m.asp?m=116070,4/9/2018,1/27/2022
116086,,"Whitecross Debtors Prison (1813-1870)","Mad in England",,,"English Hedonists",51.52268,-0.09267,,"Islington",,"Greater London","England","It is at the intersection of Whitecross Street and Dufferin Street, on the left when traveling south on Whitecross Street. ",,https://www.hmdb.org/m.asp?m=116086,4/10/2018,1/27/2022
116106,,"Percy Bysshe Shelley and Mary Shelley",,,2009,"Marchmont Association",51.52592,-0.12577,"87 Marchmont Street","Camden",,"Greater London","England","It is at the intersection of Marchmont Street and Tavistock Place, on the right when traveling south on Marchmont Street. ",,https://www.hmdb.org/m.asp?m=116106,4/10/2018,1/27/2022
116164,,"Paul Nash","1889 - 1946",,1991,"English Heritage",51.52875,-0.12529,"Queen Alexandra Mansions, Bidborough Street","Camden",,"Greater London","England","It is on Bidborough Street just east of Judd Street, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=116164,4/11/2018,1/27/2022
116332,,"John Dryden",,,1870,"Society of Arts",51.51201,-0.13042,"43 Gerrard Street","City of Westminster",,"Greater London","England","It is on Gerrard Street just east of Macclesfield Street, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=116332,4/15/2018,1/27/2022
116333,,"Wing Commander Yeo-Thomas",,,2010,"English Heritage",51.52269,-0.12290,,"Camden",,"Greater London","England","It is on Guilford Street just west of Grenville Street, on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=116333,4/15/2018,1/27/2022
116403,,"The Tipperary",,,,,51.51410,-0.10761,"66 Fleet Street","City of London",,"Greater London","England","It is at the intersection of Fleet Street and Whitefriars Street, on the right when traveling west on Fleet Street. ",,https://www.hmdb.org/m.asp?m=116403,4/16/2018,1/27/2022
116405,,"Mitre Tavern",,,,"City of London Corporation",51.51399,-0.10969,"37 Fleet Street","City of London",,"Greater London","England","It is on Fleet Street just west of Old Mitre Court, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=116405,4/16/2018,1/27/2022
116406,,"Upholders' Hall",,,,"City of London Corporation",51.51218,-0.09827,,"City of London",,"Greater London","England","It is on Peter's Hill just north of Queen Victoria Street, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=116406,4/16/2018,1/27/2022
116440,,"Professor Sir Christopher Ingold","National Chemical Landmark",,2008,"Royal Society of Chemistry",51.52538,-0.13253,"20 Gordon Street","Camden",,"Greater London","England","It is on Gordon Street just south of Endsleigh Gardens, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=116440,4/16/2018,1/27/2022
116450,,"Christina Georgina Rossetti",,,1913,"Greater London Council",51.52298,-0.13041,"30 Torrington Square","Camden",,"Greater London","England","It is on Torrington Square just south of Byng Place, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=116450,4/16/2018,1/27/2022
116484,,"Robert Travers Herford","1860 - 1950",,1990,"English Heritage",51.52395,-0.13134,"14 Gordon Square","Camden",,"Greater London","England","It is on Gordon Square, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=116484,4/16/2018,1/27/2022
116489,,"John Milton",,,,"City of London Corporation",51.51394,-0.09448,"Bow Bells House, Bread Street","City of London",,"Greater London","England","It is at the intersection of Bread Street and Cheapside, on the right when traveling south on Bread Street. ",,https://www.hmdb.org/m.asp?m=116489,4/16/2018,1/27/2022
116497,,"Dorothy Richardson","1873-1957",,2015,"Marchmont Association, University of Ulster TGA",51.52666,-0.12920,"6 Woburn Walk","Camden",,"Greater London","England","It is on Woburn Walk just east of Upper Woburn Place, on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=116497,4/16/2018,1/27/2022
116498,,"Mary Anne Clarke","1776 - 1852",,2015,"Marchmont Association, London School of Hygiene & Tropical Medicine",51.52554,-0.12610,"15-17 Tavistock Place","Camden",,"Greater London","England","It is on Tavistock Place just east of Herbrand Street, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=116498,4/16/2018,1/27/2022
116499,,"Dorothy L. Sayers","1893 - 1957",,2000,"English Heritage",51.52175,-0.11716,"24 Great James Street","Camden",,"Greater London","England","It is at the intersection of Great James Street and Northington Street, on the left when traveling north on Great James Street. ",,https://www.hmdb.org/m.asp?m=116499,4/17/2018,1/27/2022
116510,,"The Daily Courant",,,,"City of London Corporation",51.51424,-0.10401,"12 Ludgate Circus","City of London",,"Greater London","England","It is at the intersection of Ludgate Hill and Farringdon Street on Ludgate Hill. ",,https://www.hmdb.org/m.asp?m=116510,4/17/2018,1/27/2022
116542,,"John Bray's House",,,,"City of London Corporation",51.51703,-0.09810,"5 Little Britain","City of London",,"Greater London","England","It is on Little Britain just west of St Martin's-le-Grand, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=116542,4/18/2018,1/27/2022
116544,,"Coachmakers' Hall",,,,"City of London Corporation",51.51678,-0.09564,,"City of London",,"Greater London","England","It is at the intersection of Noble Street and Oat Lane, on the right when traveling north on Noble Street. ",,https://www.hmdb.org/m.asp?m=116544,4/18/2018,1/27/2022
116546,,"Lord Palmerston","1784-1865",,1927,"London County Council",51.50064,-0.13268,"20 Queen Anne's Gate","City of Westminster",,"Greater London","England","It is at the intersection of Queen Anne's Gate and Carteret Street when traveling east on Queen Anne's Gate. ",,https://www.hmdb.org/m.asp?m=116546,4/18/2018,1/27/2022
116573,,"City of London School for Girls",,,,"City of London Corporation",51.51213,-0.10675,,"City of London",,"Greater London","England","It is on Carmelite Street just south of Tudor Street, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=116573,4/18/2018,1/27/2022
116575,,"Francisco de Miranda","1750 - 1816",,1942,"British Council",51.52352,-0.13798,"58 Grafton Way","Camden",,"Greater London","England","It is on Grafton Way just west of Tottenham Court Road, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=116575,4/19/2018,8/30/2023
116610,,"Andres Bello","1781 - 1865",,1996,"English Heritage",51.52347,-0.13801,"58 Grafton Way","Camden",,"Greater London","England","It is on Grafton Way just west of Tottenham Court Road, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=116610,4/20/2018,1/27/2022
116626,,"Francisco de Miranda","1750 - 1816",,1996,"English Heritage",51.52348,-0.13802,"58 Grafton Way","Camden",,"Greater London","England","It is on Grafton Way close to  Tottenham Court Road, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=116626,4/20/2018,8/30/2023
116762,,"John Maynard Keynes","1883 - 1946",,1975,"Greater London Council",51.52444,-0.13017,"46 Gordon Square","Camden",,"Greater London","England","It is on Gordon Square just south of Endsleigh Place, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=116762,4/24/2018,1/27/2022
116768,,"Former Wardour Street Clubs",,,,,51.51131,-0.13218,"33-37 Wardour Street","City of Westminster",,"Greater London","England","It is at the intersection of Wardour Street and Gerrard Street, on the left when traveling north on Wardour Street. ",,https://www.hmdb.org/m.asp?m=116768,4/24/2018,1/27/2022
116773,,"Mont Blanc Restaurant",,,2010,"City of Westminster",51.51172,-0.13146,"16 Gerrard Street","City of Westminster",,"Greater London","England","It is on Gerrard Street just east of Wardour Street, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=116773,4/24/2018,1/27/2022
116776,,"Edmund Burke",,,1876,"Royal Society of the Arts",51.51171,-0.13096,"37 Gerrard Street","City of Westminster",,"Greater London","England","It is at the intersection of Gerrard Street and Macclesfield Street, on the right when traveling east on Gerrard Street. ",,https://www.hmdb.org/m.asp?m=116776,4/24/2018,1/27/2022
116778,,"Alexander Herzen",,,2013,"Marchmont Association",51.52668,-0.12423,"61 Judd Street","Camden",,"Greater London","England","It is at the intersection of Judd Street and Leigh Street when traveling north on Judd Street. ",,https://www.hmdb.org/m.asp?m=116778,4/24/2018,1/27/2022
116782,,"Marian Martyrs","The Noble Army of Martyrs Praise Thee!",,1870,"Protestant Alliance London",51.51839,-0.10020,,"City of London",,"Greater London","England","It is at the intersection of West Smithfield and Little Britain, on the right when traveling east on West Smithfield. ",,https://www.hmdb.org/m.asp?m=116782,4/24/2018,1/27/2022
116785,,"The Bull and Mouth Inn",,,,"City of London Corporation",51.51640,-0.09720,"1 St Martin’s Le Grand","City of London",,"Greater London","England","It is at the intersection of St Martin’s Le Grand and Gresham Street, on the left when traveling north on St Martin’s Le Grand. ",,https://www.hmdb.org/m.asp?m=116785,4/24/2018,1/27/2022
116799,,"Tin Pan Alley",,,2014,"British Plaque Trust",51.51515,-0.12959,"9 Denmark Street","Camden",,"Greater London","England","It is on Denmark Street just east of Charing Cross Road. ",,https://www.hmdb.org/m.asp?m=116799,4/25/2018,1/27/2022
116806,,"Augustus Siebe","1788 - 1872",,2000,"English Heritage",51.51527,-0.12928,"5 Denmark Street","Camden",,"Greater London","England","It is on Denmark Street just east of Charing Cross Road, on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=116806,4/25/2018,3/16/2025
116810,,"Frederick Winsor","1763-1830",,,"City of Westminster, Institution of Gas Engineers and Managers",51.50638,-0.13444,"100 Pall Mall","City of Westminster",,"Greater London","England","It is at the intersection of Pall Mall and Carlton Gardens, on the left when traveling west on Pall Mall. ",,https://www.hmdb.org/m.asp?m=116810,4/25/2018,1/27/2022
116814,,"Eisenhower's D-Day Headquarters",,,1990,"United States Department of Defense",51.50717,-0.13404,"31 St James's Square","City of Westminster",,"Greater London","England","It is on St James's Square just north of Pall Mall, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=116814,4/25/2018,1/27/2022
116820,,"Norfolk House","(Operations Torch and Overlord Headquarters)",,,,51.50723,-0.13413,"31 St Jame's Square","City of Westminster",,"Greater London","England","It is on St Jame's Square just north of Pall Mall, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=116820,4/26/2018,1/27/2022
116853,,"Northumberland House",,,,"City of London Corporation",51.51650,-0.09715,"1 St Martins-le-Grand","City of London",,"Greater London","England","It is at the intersection of St Martins-le-Grand and Gresham Street on St Martins-le-Grand. ",,https://www.hmdb.org/m.asp?m=116853,4/27/2018,1/27/2022
116909,,"George Leybourne",,,1970,"Greater London Council",51.54391,-0.08903,"136 Englefield Road","Islington",,"Greater London","England","It is at the intersection of Englefield Road and Essex Road, on the right when traveling west on Englefield Road. ",,https://www.hmdb.org/m.asp?m=116909,4/29/2018,1/27/2022
116910,,"First World War Islington 1914-1918",,"Elmore Street",,,51.54280,-0.09146,,"Islington",,"Greater London","England","It is on Elmore Street close to  Essex Road, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=116910,4/29/2018,1/27/2022
117074,,"The Black Friar",,,,"Nicholson's Pubs",51.51219,-0.10379,"174 Queen Victoria Street","City of London",,"Greater London","England","It is at the intersection of Queen Victoria Street and New Bridge Street on Queen Victoria Street. ",,https://www.hmdb.org/m.asp?m=117074,5/4/2018,1/27/2022
117081,,"Charles Fort","1874 - 1932",,2015,"The Marchmont Association",51.52470,-0.12513,"39 Marchmont Street","Camden",,"Greater London","England","It is on Marchmont Street just south of Tavistock Place, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=117081,5/4/2018,1/27/2022
117103,,"Aldersgate",,,,"City of London Corporation",51.51661,-0.09672,"61 St Martins le Grand","City of London",,"Greater London","England","It is at the intersection of St Martins le Grand and Gresham Street on St Martins le Grand. ",,https://www.hmdb.org/m.asp?m=117103,5/5/2018,1/27/2022
117111,,"French Protestant Church",,,,"City of London Corporation",51.51660,-0.09710,"1 St Martin's Le Grand","City of London",,"Greater London","England","It is on St Martin's Le Grand just north of Gresham Street. ",,https://www.hmdb.org/m.asp?m=117111,5/5/2018,1/27/2022
117125,,"St Mark's Hospital",,,,"City of London Corporation",51.51715,-0.09670,"10 Aldersgate","City of London",,"Greater London","England","It is at the intersection of Aldersgate and Little Britain, on the right when traveling north on Aldersgate. ",,https://www.hmdb.org/m.asp?m=117125,5/5/2018,1/27/2022
117151,,"Charles Dickens",,,,"Brook and Cranleigh House Residents Association",51.53322,-0.13452,"9-16 Cranleigh Street","Camden",,"Greater London","England","It is on Cranleigh Street just west of Chalton Street, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=117151,5/6/2018,1/27/2022
117153,,"George Padmore",,,,"Nubian Jak Community Trust, Trinidad and Tobago High Commission, Ghana High Commission, Camden Council",51.53319,-0.13464,"17-24 Cranleigh Street","Camden",,"Greater London","England","It is on Cranleigh Street just east of Eversholt Street, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=117153,5/6/2018,1/27/2022
117157,,"William Henry Hunt",,,2009,"Marchmont Association",51.52475,-0.12518,"41 Marchmont Street","Camden",,"Greater London","England","It is on Marchmont Street just south of Tavistock Place, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=117157,5/6/2018,1/27/2022
117171,,"William Wallace","St Bartholomew the Great",,2015,"The Society Of William Wallace",51.51859,-0.10006,"57A West Smithfield","City of London",,"Greater London","England","It can be reached from West Smithfield just north of Little Britain. ",,https://www.hmdb.org/m.asp?m=117171,5/7/2018,1/27/2022
117172,,"Priss Fotheringham",,,,"English Hedonists",51.52459,-0.09404,"90 Old Street","Islington",,"Greater London","England","It is at the intersection of Old Street and Whitecross Road, on the left when traveling west on Old Street. ",,https://www.hmdb.org/m.asp?m=117172,5/7/2018,1/27/2022
117192,,"Great Rising of 1381 Memorial",,,2015,"Matthew Bell",51.51840,-0.10028,"57A West Smithfield","City of London",,"Greater London","England","It is at the intersection of West Smithfield and Little Britain on West Smithfield. ",,https://www.hmdb.org/m.asp?m=117192,5/7/2018,1/27/2022
